fiscal_year,assistance_category_name,current_amount,constant_amount
2004,Economic,268800,328121
2014,Economic,267540,267540
2005,Economic,267400,316476
2003,Economic,266600,333496
2007,Economic,265344,296142
2000,Military,264000,350228
2004,Economic,264000,322262
2000,Economic,263900,350095
2005,Economic,263892,312324
2009,Economic,262916,284159
2003,Economic,261796,327487
2009,Economic,261600,282737
2005,Economic,261000,308901
2001,Economic,259500,336130
2010,Economic,259034,277550
2011,Economic,256875,269963
2002,Economic,255540,325769
2010,Economic,255362,273615
2007,Economic,255200,284820
2006,Economic,254428,291639
2011,Economic,252904,265791
2014,Economic,251100,251100
2014,Economic,250000,250000
2010,Economic,250000,267869
2002,Economic,250000,318707
2009,Economic,250000,270200
2001,Economic,250000,323825
2004,Economic,250000,305172
2003,Economic,250000,312731
2004,Economic,250000,305172
2005,Economic,250000,295882
2002,Economic,250000,318707
2007,Economic,250000,279016
2014,Economic,250000,250000
2003,Economic,250000,312731
2003,Economic,250000,312731
2006,Economic,250000,286562
2004,Economic,248846,303764
2008,Economic,248000,271184
2002,Economic,247519,315545
2008,Economic,245000,267903
2014,Economic,244687,244687
2002,Economic,244284,311421
2008,Economic,243184,265917
2009,Economic,243000,262634
2001,Economic,242960,314707
2006,Economic,242400,277851
2009,Economic,241964,261514
2004,Economic,241018,294208
2002,Economic,240531,306636
2007,Economic,240152,268025
2007,Economic,240000,267856
2002,Economic,240000,305958
2010,Economic,237835,254835
2012,Economic,237432,245237
2008,Economic,236600,258718
2008,Economic,235588,257611
2011,Economic,235177,247160
2010,Economic,233999,250725
2002,Economic,232600,296525
2002,Economic,232400,296270
2009,Economic,231000,249664
2008,Economic,230034,251539
2004,Economic,230000,280758
2008,Economic,229390,250835
2004,Economic,229235,279825
2001,Economic,229200,296883
2003,Economic,229100,286587
2010,Economic,229100,245475
2015,Economic,229000,225947
2014,Economic,228497,228497
2003,Economic,227930,285123
2007,Economic,227388,253781
2014,Economic,226934,226934
2000,Economic,226856,300952
2007,Economic,226526,252818
2011,Economic,225882,237391
2012,Economic,225773,233195
2006,Economic,225000,257906
2008,Economic,224656,245657
2006,Economic,223363,256030
2001,Economic,222819,288618
2008,Economic,222300,243081
2008,Economic,222188,242960
2003,Economic,221000,276455
2011,Economic,220798,232048
2006,Economic,220609,252873
2002,Economic,220548,281161
2008,Economic,220365,240966
2008,Economic,220000,240566
2009,Economic,219000,236695
2003,Economic,218716,273597
2001,Economic,217000,281080
2008,Economic,216900,237176
2008,Economic,216447,236681
2004,Economic,215000,262448
2013,Economic,213726,216978
2015,Economic,213059,210220
2005,Economic,212500,251500
2002,Economic,212500,270901
2002,Economic,212000,270263
2013,Economic,211813,215036
2011,Military,210281,220995
2002,Economic,209786,267441
2011,Economic,209774,220462
2002,Economic,209325,266853
2008,Economic,209000,228538
2005,Economic,208100,246292
2009,Economic,205588,222200
2002,Economic,205569,262065
2002,Economic,205293,261713
2011,Economic,205000,215445
2015,Economic,204000,201280
2013,Economic,203950,207053
2014,Economic,203174,203174
2005,Economic,203000,240256
2005,Economic,202500,239664
2013,Economic,201401,204466
2009,Economic,200500,216700
2014,Economic,200166,200166
2007,Economic,200000,223213
2003,Economic,200000,250185
2011,Economic,200000,210190
2011,Economic,200000,210190
2003,Economic,200000,250185
2004,Economic,200000,244138
2011,Economic,200000,210190
2011,Economic,200000,210190
2001,Economic,200000,259060
2001,Economic,200000,259060
2011,Economic,200000,210190
2015,Economic,200000,197334
2014,Economic,200000,200000
2011,Economic,200000,210190
2002,Economic,200000,254965
2013,Economic,200000,203043
2012,Economic,199769,206336
2007,Economic,199500,222655
2010,Economic,199027,213253
2013,Economic,198764,201789
2005,Economic,198726,235198
2006,Economic,198634,227684
2014,Economic,197998,197998
2000,Economic,197600,262140
2005,Economic,197186,233376
2012,Economic,197180,203662
2015,Economic,196664,194043
2003,Economic,196501,245808
2005,Economic,195000,230788
2006,Economic,194998,223517
2013,Economic,194241,197196
2012,Military,194045,200424
2004,Economic,193881,236669
2013,Economic,193459,196403
2003,Economic,193349,241865
2009,Economic,192892,208477
2007,Economic,191900,214173
2011,Economic,191688,201456
2006,Economic,191615,219639
2002,Economic,191300,243874
2015,Economic,191014,188468
2008,Economic,191000,208855
2015,Economic,190800,188256
2005,Economic,190200,225107
2010,Economic,190000,203581
2002,Economic,190000,242217
2008,Economic,190000,207762
2001,Economic,189900,245977
2011,Economic,189760,199429
2011,Economic,188866,198489
2003,Economic,188548,235859
2002,Economic,188159,239870
2010,Economic,186384,199707
2007,Economic,186226,207840
2003,Economic,186000,232672
2012,Economic,185735,191840
2000,Economic,185000,245425
2003,Economic,185000,231421
2001,Economic,185000,239630
2002,Economic,185000,235843
2004,Economic,185000,225827
2015,Economic,184420,181962
2007,Economic,184400,205802
2000,Economic,184200,244364
2009,Economic,183329,198142
2005,Economic,183000,216586
2015,Economic,182004,179578
2006,Economic,181705,208280
2005,Economic,181600,214929
2002,Economic,181230,231037
2006,Economic,180700,207127
2008,Economic,180360,197221
2003,Economic,180326,225575
2002,Economic,180000,229469
2010,Economic,179499,192329
2003,Economic,178600,223415
2010,Economic,178296,191040
2004,Economic,177969,217245
2007,Economic,177474,198073
2001,Economic,176700,228879
2010,Economic,175768,188332
2006,Economic,175355,201000
2003,Economic,175200,219162
2002,Economic,175081,223199
2010,Economic,175000,187508
2009,Economic,175000,189140
2001,Economic,175000,226677
2002,Economic,174501,222459
2004,Economic,174482,212989
2012,Economic,174434,180168
2003,Economic,174100,217786
2007,Economic,173800,193972
